2018-12-20 08:10:47 status half-configured apt-utils:amd64 1.2.24
2018-12-20 08:10:47 status unpacked apt-utils:amd64 1.2.24
2018-12-20 08:10:47 status half-installed apt-utils:amd64 1.2.24
2018-12-20 08:10:47 status triggers-pending man-db:amd64 2.7.5-1
2018-12-20 08:10:47 status half-installed apt-utils:amd64 1.2.24
2018-12-20 08:10:47 status unpacked apt-utils:amd64 1.2.29
2018-12-20 08:10:47 status unpacked apt-utils:amd64 1.2.29
2018-12-20 08:10:47 upgrade gpgv:amd64 1.4.20-1ubuntu3.1 1.4.20-1ubuntu3.3
2018-12-20 08:10:47 status half-configured gpgv:amd64 1.4.20-1ubuntu3.1
2018-12-20 08:10:47 status unpacked gpgv:amd64 1.4.20-1ubuntu3.1
2018-12-20 08:10:47 status half-installed gpgv:amd64 1.4.20-1ubuntu3.1
2018-12-20 08:10:47 status half-installed gpgv:amd64 1.4.20-1ubuntu3.1
2018-12-20 08:10:47 status unpacked gpgv:amd64 1.4.20-1ubuntu3.3
2018-12-20 08:10:47 status unpacked gpgv:amd64 1.4.20-1ubuntu3.3
2018-12-20 08:10:47 trigproc man-db:amd64 2.7.5-1 <none>
2018-12-20 08:10:47 status half-configured man-db:amd64 2.7.5-1
2018-12-20 08:10:48 status installed man-db:amd64 2.7.5-1
2018-12-20 08:10:48 startup packages configure
2018-12-20 08:10:48 configure gpgv:amd64 1.4.20-1ubuntu3.3 <none>
2018-12-20 08:10:48 status unpacked gpgv:amd64 1.4.20-1ubuntu3.3
2018-12-20 08:10:48 status half-configured gpgv:amd64 1.4.20-1ubuntu3.3
2018-12-20 08:10:48 status installed gpgv:amd64 1.4.20-1ubuntu3.3
2018-12-20 08:10:48 startup archives unpack
2018-12-20 08:10:48 upgrade gnupg:amd64 1.4.20-1ubuntu3.1 1.4.20-1ubuntu3.3
2018-12-20 08:10:48 status half-configured gnupg:amd64 1.4.20-1ubuntu3.1
2018-12-20 08:10:48 status unpacked gnupg:amd64 1.4.20-1ubuntu3.1
2018-12-20 08:10:48 status half-installed gnupg:amd64 1.4.20-1ubuntu3.1
2018-12-20 08:10:48 status triggers-pending man-db:amd64 2.7.5-1
2018-12-20 08:10:48 status half-installed gnupg:amd64 1.4.20-1ubuntu3.1
2018-12-20 08:10:48 status unpacked gnupg:amd64 1.4.20-1ubuntu3.3
2018-12-20 08:10:48 status unpacked gnupg:amd64 1.4.20-1ubuntu3.3
2018-12-20 08:10:48 trigproc man-db:amd64 2.7.5-1 <none>
2018-12-20 08:10:48 status half-configured man-db:amd64 2.7.5-1
2018-12-20 08:10:49 status installed man-db:amd64 2.7.5-1
2018-12-20 08:10:49 startup packages configure
2018-12-20 08:10:49 configure gnupg:amd64 1.4.20-1ubuntu3.3 <none>
2018-12-20 08:10:49 status unpacked gnupg:amd64 1.4.20-1ubuntu3.3
2018-12-20 08:10:49 status half-configured gnupg:amd64 1.4.20-1ubuntu3.3
